Hid;ln
4760600;919
4760800;1813
4760900;6895
4761300;7975
4761600;5734
4762000;2956
4762100;9232
4762200;4399
4762201;6222
4762300;574
4762600;2390
4762800;1198
4763200;4532
4763300;2529
4763700;7635
4764000;5359
4764400;2733
4764500;5280
4764900;6580
4765500;9150
4765800;9157
4766000;7730
4767100;6721
4767600;732
4767800;7408
4767801;4059
4768500;541
4768600;9253
4768700;3685
4769200;3267
4769400;6043
4769700;5206
4770000;9168
4770300;6670
4770500;6280
4770600;741
4770900;2764
4771300;7099
4771800;8564
4772000;6211
4772600;241
4772800;8591
4773000;676
4773100;6547
4773800;3342
4774300;7504
4774800;5213
4775000;9083
4775600;9020
4775900;5345
4776500;6682
4776700;773
4776800;8556
4777100;4942
4778500;4118
4778800;5795
4778900;7230
4779101;3828
4779300;365
4779400;1011
4779600;4166
4780100;8711
4780300;1724
4780800;4196
4781200;2316
4781500;5894
4781700;7577
4782300;4217
4782600;1633
4782700;1007
4783100;384
4783300;748
4784000;8467
4784100;5235
4784500;4236
4784800;7809
4784900;7902
4785000;5536
4785100;8570
4785300;2102
4785500;5666
4785600;8184
4785700;7918
4785900;4674
4786100;7940
4786200;2699
4786201;2890
4786300;891
4786400;8988
4786800;354
4787200;6944
4787500;368
4787600;3919
4788400;3372
4788500;8606
4788600;391
4788700;7817
4789400;8766
4789700;6289
4790000;4981
4790100;2097
4790200;46
4790500;6220
4790700;6569
4790800;1900
4791200;4317
4791300;2551
4791400;2832
4791600;7131
4792100;3909
4792200;728
4792300;95
4792600;4080
4792800;7929
4793800;5014
4794300;2017
4794600;1916
4795200;6120
4795500;565
4795700;4766
4796400;4615
4796800;583
4797100;1343
4797700;7178
4798000;3019
4798800;8450
4799100;1132
4799600;1308
4799900;7815
4800800;6054
4801100;7663
4801300;6494
4801500;8951
4801800;6094
4802100;1942
4802200;5428
4802300;6206
4802500;5686
4803300;2765
4803600;5594
4804300;8436
4804400;550
4804500;3818
4805200;1952
4805500;8644
4806600;6802
4807000;223
4807100;6738
4807500;2624
4807600;311
4807601;6243
4807900;4941
4808100;5255
4808600;8962
4808800;7834
4809000;7770
4809200;6962
4809600;5652
4809700;7405
4809900;9215
4810100;5861
4810200;2611
4810400;1762
4810600;1317
4810800;5221
4811000;6577
4811100;1022
4811400;6203
4811600;9043
4811800;490
4812700;37
4812800;6517
4813000;582
4813600;6661
4813800;3683
4813900;1373
4814300;712
4814500;6251
4814900;2122
4815000;5336
4815100;1180
4815600;2533
4815900;1839
4816000;5415
4816200;1285
4816900;6318
4816901;7985
4817200;6758
4817201;5923
4817202;5841
4817800;2193
4818600;6063
4819000;3154
4819300;6115
4820300;3396
4820301;5149
4820800;3657
4820900;7650
4821100;4553
4821200;8276
4821300;1579
4822100;5230
4822400;3038
4822600;1448
4822800;2123
4823200;4890
4823900;2103
4824400;6667
4824900;7002
4825100;3091
4825500;3298
4825600;6964
4826000;1744
4826200;3737
4826400;5437
4826500;5152
4827000;2808
4827100;2281
4827500;6752
4827800;7612
4828000;8161
4828500;6113
4829100;8172
4829300;3601
4829400;5499
4829700;5217
4829800;4031
4829900;6512
4830000;5851
4830900;5025
4831200;6164
4831300;5225
4831400;7889
4831500;985
4831600;8022
4832000;818
4832200;979
4832600;6177
4833000;6138
4833300;4898
4833500;2255
4833700;1769
4833800;2706
4834200;8380
4834300;4272
4834400;5916
4834800;3586
4834900;1989
4835100;1938
4835300;3882
4835500;6241
4835800;886
4836100;2181
4836200;6952
4836400;8535
4836700;1686
4837300;6257
4837400;2330
4837600;5145
4837900;5710
4838100;1046
4838600;2063
4838700;1949
4838800;1229
4838900;7074
4839100;4321
4839300;4230
4841000;6426
4841100;7854
4842200;8568
4842500;1879
4843200;1898
4843300;5258
4843500;8238
4843600;7534
4843800;4072
4844000;2826
4844200;3373
4844300;6731
4844400;2619
4844600;2467
4844700;2761
4844800;7562
4844900;9193
4845000;4608
4845300;2023
4845700;7196
4845900;6579
4846000;1117
4846200;3714
4846300;3260
4846400;5619
4846500;4628
4846900;7035
4847000;7716
4847300;7229
4847700;2132
4848000;3831
4848100;3835
4848400;8818
4848500;4778
4848700;8201
4849500;9030
4849600;9138
4849700;1745
4849900;5377
4850100;9091
4850200;6312
4850300;1449
4850500;903
4850600;4132
4850700;1321
4851000;6662
4851200;216
4851300;205
4851800;654
4852200;3153
4852400;9218
4852600;5043
4852900;6941
4853300;8605
4854100;203
4854200;5093
4854600;5805
4854800;5000
4854900;7951
4855300;6706
4855800;1677
4856000;1244
4856200;478
4856900;4613
4857000;164
4857300;5911
4857600;3635
4858200;8462
4858300;2830
4858600;321
4858700;2585
4858800;9144
4859700;7301
4859800;1212
4859900;8398
4860000;3915
4860100;5400
4860300;8932
4861000;3062
4861200;8573
4861700;8762
4861701;514
4862100;2725
4862200;8305
4862300;4969
4862500;8481
4862800;7549
4863200;4063
4863300;7362
4863400;1082
4863500;5313
4863600;4876
4864000;5297
4864200;7725
4864400;2196
4864600;6620
4864700;2801
4864701;3584
4865300;3103
4865500;2142
4865600;2052
4865602;940
4865800;6216
4865900;947
4866000;8778
4866100;4790
4866600;7235
4866700;5649
4866702;4722
4866800;4153
4866900;8612
4867100;9101
4867800;987
4867801;8595
4868100;5419
4868200;4867
4868201;1243
4868700;8775
4868900;1467
4869000;1856
4869500;1511
4869800;8771
4870500;584
4870600;4835
4871100;6109
4871400;9137
4871700;3202
4872500;4834
4873300;1875
4873700;2293
4873900;7267
4874000;6393
4874100;3688
4874200;7820
4874300;3576
4874600;5527
4874900;4847
4875100;5807
4875400;1445
4875600;9034
4875900;2980
4876100;2945
4877000;2804
4877400;7429
4877500;7214
4877700;56
4877800;6185
4877900;3150
4878300;7945
4878301;1913
4878600;845
4878800;3869
4879100;3229
4879200;9159
4879500;5169
4879900;4139
4880000;9019
4880300;7478
4880600;2252
