jahr;Hid;pid;ln;pkzqu;lnpkzqu;hgew;alter;sex;rl070;K001010;K001020;K001030;K001060;K001070;K001080;K002010;K002020;K002030;K002060;K002070;K002080;K003000;K004000;K005000;K006000;K007000;K008000;K008010;K009000;K009010;K013010;K013020;K013030;K013040;K013050;k011000nu;k012000nu;K015000
2019;4615400;461540003;2685;3;268503;329,72799;10;2;334,61042;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;4;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4615400;461540004;2685;4;268504;329,72799;6;2;323,52586;-3;1;-3;2;2;1;-3;10;-3;-3;-3;10;-3;-3;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4618900;461890003;5128;3;512803;271,69195;11;1;271,89828;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;30;1;10;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4618900;461890004;5128;4;512804;271,69195;10;1;275,71502;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;25;1;15;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625100;462510003;2184;3;218403;463,25454;11;1;463,60634;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;5;33;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625100;462510004;2184;4;218404;463,25454;10;1;470,11416;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;1;28;1;2;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625100;462510005;2184;5;218405;463,25454;2;1;338,59024;1;2;-3;2;2;1;15;-3;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625400;462540005;963;6;96306;606,43735;9;2;615,41714;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;10;1;25;1;1;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625400;462540006;963;5;96305;606,43735;11;1;653,27651;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;5;33;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4625400;462540007;963;7;96307;606,43735;2;1;559,1032;1;2;-3;2;2;1;15;-3;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4626100;462610003;6218;2;621802;323,26976;5;2;361,51791;-3;1;-3;2;1;1;-3;30;-3;-3;1;15;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4626300;462630004;564;4;56404;404,75069;1;2;457,95225;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;30;-3;-3;-3;-3;-3;-3;-3;-3;-3;3;1;1;3;-3;1;1;-3
2019;4626600;462660003;8;3;803;517,50917;13;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;4;32;2;-3;1;1;1;1;1;1;1;-3
2019;4626600;462660004;8;4;804;517,50917;10;1;557,47982;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;29;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4626600;462660005;8;5;805;517,50917;3;2;605,31669;-3;1;-3;2;2;2;-3;17;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4627100;462710003;1619;3;161903;639,46559;5;2;683,46194;-3;1;-3;2;2;1;-3;20;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4627100;462710004;1619;4;161904;639,46559;1;2;723,51873;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4627300;462730003;3829;3;382903;540,87695;1;1;498,65997;1;-3;-3;2;2;1;20;-3;-3;-3;-3;4;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4631600;463160003;6728;3;672803;450,27945;12;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;5;30;2;-3;1;1;1;1;1;1;1;-3
2019;4631600;463160004;6728;4;672804;450,27945;4;2;503,55493;-3;1;-3;2;2;1;-3;20;-3;-3;-3;7;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4632400;463240003;5087;4;508704;842,64392;15;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;7;43;2;-3;1;1;1;1;1;1;1;-3
2019;4632400;463240004;5087;5;508705;842,64392;10;2;855,12134;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;5;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4633700;463370004;2088;4;208804;699,40284;13;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;4;30;2;-3;1;1;1;1;1;1;1;-3
2019;4634200;463420003;839;3;83903;580,77017;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;7;32;2;-3;1;1;1;1;1;1;1;-3
2019;4634200;463420004;839;4;83904;580,77017;13;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;4;29;2;-3;1;1;1;1;1;1;1;-3
2019;4634200;463420005;839;5;83905;580,77017;9;2;533,40234;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;24;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4634600;463460004;6346;2;634602;744,57638;15;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;32;2;-3;1;1;1;1;1;1;1;-3
2019;4635400;463540002;585;2;58502;821,08918;0;2;982,42898;2;-3;-3;2;1;2;-3;-3;-3;-3;4;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;-3
2019;4635501;463550103;7744;3;774403;348,50881;0;1;416,989;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;-3
2019;4635800;463580003;7260;3;726003;416,78742;9;1;382,79408;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;2;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4635800;463580004;7260;4;726004;416,78742;2;2;304,62767;2;2;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4635800;463580005;7260;5;726005;416,78742;1;1;471,57112;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;-3;1;1;-3
2019;4636200;463620003;6495;3;649503;472,50763;12;2;472,86646;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;2;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4636200;463620004;6495;4;649504;472,50763;9;1;433,96973;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;3;25;1;5;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4637300;463730003;6247;2;624702;773,01397;2;1;564,99173;1;2;-3;2;2;1;25;-3;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4637300;463730004;6247;3;624703;773,01397;0;2;874,62109;2;-3;-3;1;2;1;-3;-3;-3;20;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4638200;463820003;677;3;67703;1451,06242;1;2;1641,79413;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4640000;464000003;5887;3;588703;503,48251;11;2;503,86487;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;4;25;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4642400;464240003;5935;3;593503;450,32852;2;1;329,14268;2;1;-3;2;2;2;-3;25;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;-2;1;1;-3;1;1;-3
2019;4642800;464280002;8872;3;887203;264,82318;5;2;296,15613;-3;1;-3;2;2;2;-3;6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4642800;464280003;8872;2;887202;264,82318;11;2;285,27723;-3;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;5;31;1;10;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4643600;464360004;2660;4;266004;356,80934;13;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;4;32;2;-3;2;1;1;1;1;1;1;-3
2019;4644400;464440003;4397;3;439703;843,16435;7;1;827,30457;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;1;9;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4644400;464440004;4397;4;439704;843,16435;5;1;942,9246;-3;1;-3;2;2;2;-3;20;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4644400;464440005;4397;5;439705;843,16435;3;1;616,26426;2;1;-3;2;2;2;-3;20;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4645000;464500003;4964;3;496403;347,68019;6;2;341,14038;-3;1;-3;2;2;1;-3;10;-3;-3;-3;8;-3;-3;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4645000;464500004;4964;4;496404;347,68019;5;2;388,81649;-3;1;-3;2;2;1;-3;20;-3;-3;-3;8;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4647200;464720004;1415;4;141504;1216,28624;6;1;1299,96886;-3;2;2;2;2;1;-3;-3;-3;-3;-3;10;1;22;2;-3;-3;-3;-3;-3;-3;1;3;1;1;1;1;1;-3
2019;4647200;464720005;1415;5;141505;1216,28624;4;1;1422,65764;-3;1;-3;2;2;1;-3;20;-3;-3;-3;10;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;1;1;1;-3
2019;4647200;464720006;1415;6;141506;1216,28624;2;1;1121,35166;2;2;-3;2;2;1;-3;-3;-3;-3;-3;20;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;3;1;1;1;1;1;-3
2019;4647300;464730003;6021;3;602103;445,42487;0;1;503,97276;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;-3
2019;4648800;464880003;7125;5;712505;983,85804;7;2;965,35183;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;5;1;23;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4648800;464880004;7125;6;712506;983,85804;5;2;1051,54919;-3;1;-3;2;2;1;-3;20;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4648800;464880005;7125;7;712507;983,85804;3;2;719,09651;2;2;-3;2;2;1;-3;-3;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4649600;464960003;3876;3;387603;751,78642;4;2;879,34456;-3;1;-3;2;2;1;-3;20;-3;-3;-3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4649600;464960004;3876;4;387604;751,78642;0;1;899,50859;2;-3;-3;2;2;1;-3;-3;-3;-3;-3;3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4651500;465150003;1256;3;125603;473,72868;2;1;346,24573;2;2;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4653001;465300103;3438;3;343803;209,50273;0;1;250,66894;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;-3
2019;4656700;465670002;4892;3;489203;419,63167;6;2;448,50306;2;2;2;2;2;1;-3;-3;-3;-3;-3;4;1;20;1;20;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4657100;465710004;4648;4;464804;760,65663;15;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;6;36;2;-3;1;1;1;1;1;1;1;-3
2019;4658200;465820003;418;3;41803;430,02856;8;1;373,93748;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;1;4;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4658200;465820004;418;4;41804;430,02856;8;1;373,93748;-3;-3;2;2;2;2;-3;-3;-3;-3;-3;-3;1;20;1;4;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4658400;465840003;5194;3;519403;878,36351;1;2;993,81807;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4658900;465890003;1283;3;128303;491,90997;5;2;550,11103;-3;1;-3;2;1;2;-3;30;-3;-3;6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4658900;465890004;1283;4;128304;491,90997;3;2;359,53433;1;1;-3;2;1;2;30;-2;-3;-3;6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4659700;465970003;3761;3;376103;359,71708;10;1;387,50041;-3;-3;-3;2;2;1;-3;-3;-3;-3;-3;11;4;30;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4659700;465970004;3761;4;376104;359,71708;7;1;352,95086;-3;-3;2;2;2;1;-3;-3;-3;-3;-3;11;1;22;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4661100;466110006;8221;6;822106;1113,64801;13;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;5;37;1;8;1;1;1;1;1;1;1;-3
2019;4662000;466200003;937;3;93703;781,7853;6;2;835,5735;-3;2;2;2;2;1;-3;-3;-3;-3;-3;3;1;23;1;10;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4662000;466200004;937;4;93704;781,7853;4;1;914,43345;-3;2;-3;2;2;1;-3;-3;-3;-3;-3;6;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4663400;466340003;4000;3;400003;323,92509;6;1;346,21171;-3;2;2;2;2;1;-3;-3;-3;-3;-3; ;1;20;2;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4663400;466340004;4000;4;400004;323,92509;0;2;387,57471;2;-3;-3;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;1;1;1;-3
2019;4665000;466500003;7775;3;777503;408,6266;2;2;376,73214;2;2;-3;2;2;1;-3;-3;-3;-3;-3;4;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;1;1;1;-3;1;1;-3
2019;4666900;466690004;6133;4;613304;674,43686;15;1; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;1;7;32;2;-3;1;1;1;1;1;1;1;-3
2019;4666900;466690005;6133;5;613305;674,43686;13;2; ;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;5;32;2;-3;1;1;1;1;1;1;1;-3
