jahr;Hid;pid;ln;pkzqu;lnpkzqu;hgew;alter;r000000;r002000nu;sex;r004000;r005000;r006000;R007000;epinc;epinc10;epinc4;epinc5;epinc3;activity;wi;jobless;arose;deprived4;povmd60
2019;4580700;458070004;3616;3;361603;702,6298;22;1;1996;1;1;2; ;1;37069,495;9;4;5;3;1;3;0;0;0;0
2019;4581200;458120001;1231;1;123101;509,53967;55;2;1963;1; ; ;2;1;27052,9066666667;6;3;3;2;1;3;0;0;0;0
2019;4581200;458120002;1231;2;123102;509,53967;49;2;1969;2; ; ;1;1;27052,9066666667;6;3;3;2;1;3;0;0;0;0
2019;4582400;458240001;7313;1;731301;762,46373;59;2;1959;1; ; ;2;1;34009,4133333333;8;3;4;2;4;3;0;0;0;0
2019;4582400;458240002;7313;2;731302;762,46373;55;2;1963;2; ; ;1;1;34009,4133333333;8;3;4;2;1;3;0;0;0;0
2019;4582500;458250001;8633;2;863302;537,33937;71;1;1947;1; ; ;1;4;19959,5066666667;3;2;2;2;3;-1;-3;0;0;0
2019;4582500;458250002;8633;1;863301;537,33937;72;1;1946;2; ; ;2;4;19959,5066666667;3;2;2;2;3;-1;-3;0;0;0
2019;4582600;458260001;2908;1;290801;669,55201;66;1;1952;1; ; ;2;4;21778,1166666667;4;2;2;2;3;-1;-3;0;0;0
2019;4582600;458260002;2908;2;290802;669,55201;45;1;1973;2; ; ;1;1;21778,1166666667;4;2;2;2;1;3;0;0;0;0
2019;4582600;458260003;2908;3;290803;669,55201;7;1;2011;2;1;2; ;-3;21778,1166666667;4;2;2;2; ;3;0;0;0;0
2019;4583100;458310001;1;2;102;553,31913;78;1;1940;2; ; ;1;4;35648,5133333333;8;4;4;2;3;-1;-3;0;0;0
2019;4583100;458310002;1;1;101;553,31913;80;1;1938;1; ; ;2;4;35648,5133333333;8;4;4;2;3;-1;-3;0;0;0
2019;4583200;458320001;3227;1;322701;515,59018;52;2;1966;1; ; ;2;1;15558,8826086957;2;1;1;1;1;3;0;0;0;0
2019;4583200;458320002;3227;2;322702;515,59018;50;2;1968;2; ; ;1;2;15558,8826086957;2;1;1;1;1;3;0;0;0;0
2019;4583200;458320003;3227;3;322703;515,59018;16;2;2002;1;1;2; ;1;15558,8826086957;2;1;1;1; ;3;0;0;0;0
2019;4583200;458320004;3227;4;322704;515,59018;13;2;2005;2;1;2; ;-3;15558,8826086957;2;1;1;1; ;3;0;0;0;0
2019;4583300;458330001;303;1;30301;498,81783;71;1;1947;1; ; ;2;4;54189,14;10;4;5;3;3;-1;-3;0;0;0
2019;4583300;458330002;303;2;30302;498,81783;69;1;1949;2; ; ;1;2;54189,14;10;4;5;3;1;-1;-3;0;0;0
2019;4583800;458380001;8219;1;821901;881,01757;68;1;1950;2; ; ; ;4;23954,28;5;2;3;2;3;-1;-3;0;0;0
2019;4584100;458410001;395;1;39501;720,27192;54;1;1964;1; ; ; ;1;24286,69;5;2;3;2;1;3;0;0;0;0
2019;4584200;458420001;3132;1;313201;1100,16278;80;1;1938;2; ; ; ;4;22245,78;4;2;2;2;3;-1;-3;0;0;0
2019;4584300;458430001;1162;1;116201;480,87082;52;1;1966;1; ; ;2;1;29646,325;7;3;4;2;1;3;0;0;0;0
2019;4584300;458430002;1162;2;116202;480,87082;47;1;1971;2; ; ;1;1;29646,325;7;3;4;2;1;3;0;0;0;0
2019;4584300;458430003;1162;3;116203;480,87082;16;1;2002;1;1;2; ;1;29646,325;7;3;4;2; ;3;0;0;0;0
2019;4584400;458440001;7992;1;799201;1498,97558;67;1;1951;2; ; ; ;4;37697,5333333333;9;4;5;3;3;-1;-3;0;0;0
2019;4584400;458440002;7992;2;799202;1498,97558;39;1;1979;1; ;1; ;1;37697,5333333333;9;4;5;3;1;3;0;0;0;0
2019;4584600;458460001;8082;1;808201;493,9597;34;2;1984;1; ; ;2;1;19598,5166666667;3;2;2;2;1;3;0;0;0;0
2019;4584600;458460002;8082;2;808202;493,9597;34;2;1984;2; ; ;1;1;19598,5166666667;3;2;2;2;-9;3;0;0;0;0
2019;4584600;458460003;8082;3;808203;493,9597;1;2;2017;1;1;2; ;-3;19598,5166666667;3;2;2;2; ;3;0;0;0;0
2019;4584900;458490001;8890;2;889002;2590,5977;31;1;1987;1; ; ; ;1;43221,492;9;4;5;3;1;3;0;0;0;0
2019;4584900;458490002;8890;1;889001;2590,5977;32;1;1986;1; ; ; ;1;43221,492;9;4;5;3;1;3;0;0;0;0
2019;4584900;458490007;8890;3;889003;2590,5977;26;1;1992;1; ; ; ;5;43221,492;9;4;5;3;4;3;0;0;0;0
2019;4584900;458490010;8890;4;889004;2590,5977;23;1;1995;2; ; ; ; ;43221,492;9;4;5;3;4;3;0;0;0;0
2019;4585100;458510001;6588;1;658801;551,00612;56;1;1962;2; ; ; ;1;22846,49;4;2;2;2;1;3;0;0;0;0
2019;4585300;458530001;8291;1;829101;426,46755;43;1;1975;1; ; ;2;1;26948,5666666667;6;3;3;2;1;3;0;0;0;0
2019;4585300;458530002;8291;2;829102;426,46755;40;1;1978;2; ; ;1;5;26948,5666666667;6;3;3;2;-9;3;0;0;0;0
2019;4585300;458530003;8291;3;829103;426,46755;10;1;2008;1;1;2; ;-3;26948,5666666667;6;3;3;2; ;3;0;0;0;0
2019;4585300;458530004;8291;4;829104;426,46755;8;1;2010;1;1;2; ;-3;26948,5666666667;6;3;3;2; ;3;0;0;0;0
2019;4585600;458560001;7356;1;735601;727,96182;51;1;1967;2; ; ; ;1;23067,26;5;2;3;2;1;3;0;0;0;0
2019;4585700;458570001;4428;2;442802;580,74369;32;2;1986;2; ; ;1;5;18724,2476190476;3;1;2;2;-9;3;0;0;0;0
2019;4585700;458570002;4428;1;442801;580,74369;34;2;1984;1; ; ;2;1;18724,2476190476;3;1;2;2;1;3;0;0;0;0
2019;4585700;458570003;4428;3;442803;580,74369;5;2;2013;1;1;2; ;-3;18724,2476190476;3;1;2;2; ;3;0;0;0;0
2019;4585700;458570004;4428;4;442804;580,74369;3;2;2015;2;1;2; ;-3;18724,2476190476;3;1;2;2; ;3;0;0;0;0
2019;4585800;458580001;7005;1;700501;900,88833;74;1;1944;2; ; ; ;4;22721,96;4;2;2;2;3;-1;-3;0;0;0
2019;4586000;458600001;1419;1;141901;1049,46591;46;1;1972;2; ; ; ;1;18350,91;3;1;2;2;1;3;0;0;0;0
2019;4586800;458680001;2640;1;264001;328,88639;53;1;1965;1; ; ;2;1;40660,6761904762;9;4;5;3;1;3;0;0;0;0
2019;4586800;458680002;2640;2;264002;328,88639;39;1;1979;2; ; ;1;1;40660,6761904762;9;4;5;3;1;3;0;0;0;0
2019;4586800;458680003;2640;3;264003;328,88639;11;1;2007;1;1;2; ;-3;40660,6761904762;9;4;5;3; ;3;0;0;0;0
2019;4586800;458680004;2640;4;264004;328,88639;8;1;2010;2;1;2; ;-3;40660,6761904762;9;4;5;3; ;3;0;0;0;0
2019;4587000;458700001;4194;1;419401;589,60246;74;2;1944;2; ; ;2;5;21299,8266666667;4;2;2;2;-9;-1;-3;0;0;0
2019;4587000;458700002;4194;2;419402;589,60246;74;2;1944;1; ; ;1;4;21299,8266666667;4;2;2;2;3;-1;-3;0;0;0
2019;4588200;458820001;5715;2;571502;424,6322;35;2;1983;2; ; ;1;1;34802,0523809524;8;4;4;2;1;3;0;0;0;0
2019;4588200;458820002;5715;1;571501;424,6322;42;2;1976;1; ; ;2;1;34802,0523809524;8;4;4;2;1;3;0;0;0;0
2019;4588200;458820003;5715;4;571504;424,6322;1;2;2017;1;1;2; ;-3;34802,0523809524;8;4;4;2; ;3;0;0;0;0
2019;4588200;458820004;5715;3;571503;424,6322;10;2;2008;2;1;2; ;-3;34802,0523809524;8;4;4;2; ;3;0;0;0;0
2019;4588300;458830001;2900;1;290001;558,83545;71;1;1947;1; ; ; ;4;23861,66;5;2;3;2;3;-1;-3;0;0;0
2019;4588800;458880001;7448;1;744801;511,09562;51;1;1967;1; ; ;2;1;20666,0260869565;4;2;2;2;1;3;0;0;0;0
2019;4588800;458880002;7448;2;744802;511,09562;44;1;1974;2; ; ;1;1;20666,0260869565;4;2;2;2;1;3;0;0;0;0
2019;4588800;458880003;7448;3;744803;511,09562;15;1;2003;2;1;2; ;5;20666,0260869565;4;2;2;2; ;3;0;0;0;0
2019;4588800;458880004;7448;4;744804;511,09562;7;1;2011;1;1;2; ;-3;20666,0260869565;4;2;2;2; ;3;0;0;0;0
2019;4589100;458910001;4811;2;481102;502,0557;40;2;1978;1; ; ;1;1;26328,1111111111;6;3;3;2;1;3;0;0;0;0
2019;4589100;458910002;4811;1;481101;502,0557;41;2;1977;2; ; ;2;1;26328,1111111111;6;3;3;2;-9;3;0;0;0;0
2019;4589100;458910003;4811;3;481103;502,0557;7;2;2011;1;2;1; ;-3;26328,1111111111;6;3;3;2; ;3;0;0;0;0
2019;4589200;458920001;78;1;7801;1857,09164;47;1;1971;1; ; ; ;1;3600;1;1;1;1;1;3;0;1;0;1
2019;4589300;458930001;8982;1;898201;495,08892;80;1;1938;2; ; ; ;4;14887,37;2;1;1;1;3;-1;-3;1;0;1
2019;4589400;458940001;6421;1;642101;522,09769;41;1;1977;1; ; ;2;1;19738,2523809524;3;2;2;2;1;3;0;0;0;0
2019;4589400;458940002;6421;2;642102;522,09769;35;1;1983;2; ; ;1;5;19738,2523809524;3;2;2;2;-9;3;0;0;0;0
2019;4589400;458940003;6421;3;642103;522,09769;4;1;2014;2;1;2; ;-3;19738,2523809524;3;2;2;2; ;3;0;0;0;0
2019;4589400;458940004;6421;4;642104;522,09769;1;1;2017;2;1;2; ;-3;19738,2523809524;3;2;2;2; ;3;0;0;0;0
2019;4590100;459010001;1722;1;172201;474,23967;77;1;1941;1; ; ; ;4;32432,48;8;3;4;2;3;-1;-3;0;0;0
2019;4590300;459030001;4369;1;436901;1224,8244;43;1;1975;1; ; ;2;3;46321,7533333333;10;4;5;3;1;3;0;0;0;0
2019;4590300;459030002;4369;2;436902;1224,8244;35;1;1983;2; ; ;1;1;46321,7533333333;10;4;5;3;1;3;0;0;0;0
2019;4590500;459050001;7558;1;755801;696,46746;26;1;1992;2; ; ; ;1;25719,73;5;2;3;2;1;3;0;0;0;0
2019;4590800;459080001;853;1;85301;1104,76561;73;1;1945;2; ; ; ;4;27606,5466666667;6;3;3;2;3;-1;-3;0;0;0
2019;4590800;459080002;853;2;85302;1104,76561;42;1;1976;1; ;1; ;1;27606,5466666667;6;3;3;2;1;3;0;0;0;0
2019;4591000;459100001;2424;1;242401;317,89548;73;1;1945;2; ; ;2;4;68496,4;10;4;5;3;3;-1;-3;0;0;0
2019;4591000;459100002;2424;2;242402;317,89548;80;1;1938;1; ; ;1;4;68496,4;10;4;5;3;3;-1;-3;0;0;0
2019;4591200;459120001;7640;1;764001;483,57034;65;1;1953;2; ; ; ;4;18913,2;3;1;2;2;3;-1;-3;1;1;0
2019;4591500;459150001;4173;1;417301;703,58435;53;1;1965;2; ; ; ;1;19629,54;3;2;2;2;2;1;1;1;0;0
2019;4591900;459190001;3897;1;389701;641,97863;49;1;1969;1; ; ;2;1;29127,3434782609;7;3;4;2;1;3;0;0;0;0
2019;4591900;459190002;3897;2;389702;641,97863;45;1;1973;2; ; ;1;2;29127,3434782609;7;3;4;2;1;3;0;0;0;0
2019;4591900;459190004;3897;3;389703;641,97863;20;1;1998;2;1;2; ;1;29127,3434782609;7;3;4;2;1;3;0;0;0;0
2019;4591900;459190005;3897;4;389704;641,97863;8;1;2010;2;1;2; ;-3;29127,3434782609;7;3;4;2; ;3;0;0;0;0
2019;4591901;459190003;7029;1;702901;889,86556;28;1;1990;2; ; ; ;1;21458,7;4;2;2;2;1;3;0;0;0;0
2019;4592000;459200001;1880;1;188001;568,35075;61;1;1957;2; ; ; ;4;18155,13;3;1;2;2;3;-1;-3;0;0;0
2019;4592400;459240001;7252;1;725201;908,55902;32;1;1986;1; ; ; ;1;45320,96;10;4;5;3;1;3;0;0;0;0
2019;4592401;459240002;342;1;34201;909,02954;27;1;1991;2; ; ; ;1;28903,27;7;3;4;2;1;3;0;0;0;0
2019;4592900;459290001;3758;2;375802;496,38658;67;1;1951;2; ; ;1;4;37942,4133333333;9;4;5;3;3;-1;-3;0;0;0
2019;4592900;459290002;3758;1;375801;496,38658;73;1;1945;1; ; ;2;4;37942,4133333333;9;4;5;3;3;-1;-3;0;0;0
2019;4593300;459330001;5684;1;568401;636,30906;38;1;1980;2; ; ;2;5;35091,5944444444;8;4;4;2;-9;3;0;0;0;0
2019;4593300;459330002;5684;2;568402;636,30906;36;1;1982;1; ; ;1;1;35091,5944444444;8;4;4;2;1;3;0;0;0;0
2019;4593300;459330003;5684;3;568403;636,30906;1;1;2017;2;2;1; ;-3;35091,5944444444;8;4;4;2; ;3;0;0;0;0
2019;4593800;459380001;7595;1;759501;524,74512;62;1;1956;1; ; ; ;2;24000;5;2;3;2;1;-1;-3;0;0;0
2019;4594300;459430001;4495;1;449501;763,20698;39;1;1979;1; ; ;2;1;19530,0095238095;3;2;2;2;1;3;0;0;0;0
2019;4594300;459430002;4495;2;449502;763,20698;36;1;1982;2; ; ;1;5;19530,0095238095;3;2;2;2;-9;3;0;0;0;0
2019;4594300;459430003;4495;3;449503;763,20698;2;1;2016;1;1;2; ;-3;19530,0095238095;3;2;2;2; ;3;0;0;0;0
2019;4594300;459430004;4495;4;449504;763,20698;0;1;2018;2;1;2; ;-3;19530,0095238095;3;2;2;2; ;3;0;0;0;0
2019;4594400;459440001;3308;1;330801;1244,21908;59;1;1959;2; ; ; ;4;13005,63;1;1;1;1;3;1;1;1;0;1
2019;4594500;459450001;33;1;3301;519,41866;61;1;1957;1; ; ; ;1;36303,64;8;4;4;2;1;-1;-3;0;0;0
2019;4594600;459460001;6828;1;682801;689,28355;72;2;1946;1; ; ;2;4;36484,4266666667;8;4;4;2;3;-1;-3;0;0;0
2019;4594600;459460002;6828;2;682802;689,28355;67;2;1951;2; ; ;1;4;36484,4266666667;8;4;4;2;3;-1;-3;0;0;0
2019;4594900;459490001;3608;1;360801;811,74284;35;1;1983;2; ; ;2;1;9202,18888888889;1;1;1;1;-9;3;0;1;0;1
2019;4594900;459490002;3608;2;360802;811,74284;34;1;1984;1; ; ;1;2;9202,18888888889;1;1;1;1;1;3;0;1;0;1
2019;4594900;459490003;3608;3;360803;811,74284;2;1;2016;1;2;1; ;-3;9202,18888888889;1;1;1;1; ;3;0;1;0;1
2019;4595400;459540001;1289;1;128901;318,10353;53;1;1965;2; ; ; ;1;37194,1933333333;9;4;5;3;1;3;0;0;0;0
2019;4595400;459540002;1289;2;128902;318,10353;23;1;1995;2; ;1; ;1;37194,1933333333;9;4;5;3;4;3;0;0;0;0
2019;4595700;459570001;3423;1;342301;877,90222;77;1;1941;1; ; ;2;4;21876,8;4;2;2;2;3;-1;-3;0;0;0
2019;4595700;459570002;3423;2;342302;877,90222;77;1;1941;2; ; ;1;4;21876,8;4;2;2;2;3;-1;-3;0;0;0
2019;4595900;459590001;7463;1;746301;509,16685;62;1;1956;1; ; ;2;1;61978,72;10;4;5;3;1;-1;-3;0;0;0
2019;4595900;459590002;7463;2;746302;509,16685;55;1;1963;2; ; ;1;1;61978,72;10;4;5;3;1;3;0;0;0;0
2019;4596000;459600001;4204;1;420401;1355,49492;80;1;1938;2; ; ; ;4;12454,91;1;1;1;1;-9;-1;-3;1;0;1
2019;4596300;459630001;4843;1;484301;329,32444;74;1;1944;2; ; ;2;4;32634,98;8;3;4;2;3;-1;-3;0;0;0
2019;4596300;459630002;4843;2;484302;329,32444;77;1;1941;1; ; ;1;4;32634,98;8;3;4;2;3;-1;-3;0;0;0
2019;4596400;459640001;5135;1;513501;1816,1544;80;4;1938;1; ; ;2;4;42573,4;9;4;5;3;3;-1;-3;0;0;0
2019;4596400;459640002;5135;2;513502;1816,1544;80;4;1938;2; ; ;1;4;42573,4;9;4;5;3;3;-1;-3;0;0;0
2019;4596400;459640003;5135;4;513504;1816,1544;54;4;1964;2;1;2; ;2;42573,4;9;4;5;3;1;3;0;0;0;0
2019;4596400;459640004;5135;3;513503;1816,1544;57;4;1961;1;1;2; ;1;42573,4;9;4;5;3;1;3;0;0;0;0
2019;4596400;459640005;5135;5;513505;1816,1544;20;4;1998;2; ;4; ;5;42573,4;9;4;5;3;4;3;0;0;0;0
2019;4596500;459650001;708;1;70801;920,88444;44;1;1974;2; ; ; ;1;23776,48;5;2;3;2;1;3;0;0;0;0
2019;4596600;459660001;4946;1;494601;313,85764;66;1;1952;1; ; ;2;4;45479,6666666667;10;4;5;3;3;-1;-3;0;0;0
2019;4596600;459660002;4946;2;494602;313,85764;53;1;1965;2; ; ;1;1;45479,6666666667;10;4;5;3;1;3;0;0;0;0
2019;4596800;459680001;4142;1;414201;673,42612;63;1;1955;1; ; ;2;4;44813,46;10;4;5;3;3;-1;-3;0;0;0
2019;4596800;459680002;4142;2;414202;673,42612;62;1;1956;2; ; ;1;4;44813,46;10;4;5;3;1;-1;-3;0;0;0
2019;4597100;459710001;2784;1;278401;656,94958;79;1;1939;1; ; ;2;4;25233,6533333333;5;2;3;2;3;-1;-3;0;0;0
2019;4597100;459710002;2784;2;278402;656,94958;77;1;1941;2; ; ;1;4;25233,6533333333;5;2;3;2;3;-1;-3;0;0;0
2019;4597200;459720001;8133;1;813301;722,52484;28;1;1990;1; ; ;2;1;19677,18;3;2;2;2;1;3;0;0;0;0
2019;4597200;459720002;8133;2;813302;722,52484;26;1;1992;2; ; ;1;1;19677,18;3;2;2;2;4;3;0;0;0;0
2019;4597300;459730001;2191;1;219101;671,57491;80;1;1938;2; ; ; ;4;55299,26;10;4;5;3;3;-1;-3;0;0;0
2019;4598000;459800001;3791;1;379101;495,24804;49;1;1969;1; ; ;2;1;19843,0142857143;3;2;2;2;1;3;0;0;0;0
2019;4598000;459800002;3791;2;379102;495,24804;44;1;1974;2; ; ;1;4;19843,0142857143;3;2;2;2;3;3;0;0;0;0
2019;4598000;459800003;3791;3;379103;495,24804;12;1;2006;2;1;2; ;-3;19843,0142857143;3;2;2;2; ;3;0;0;0;0
2019;4598000;459800004;3791;4;379104;495,24804;9;1;2009;2;1;2; ;-3;19843,0142857143;3;2;2;2; ;3;0;0;0;0
2019;4598100;459810001;4692;2;469202;494,5752;43;2;1975;2; ; ;1;2;56206,2777777778;10;4;5;3;1;3;0;0;0;0
2019;4598100;459810002;4692;1;469201;494,5752;50;2;1968;1; ; ;2;2;56206,2777777778;10;4;5;3;1;3;0;0;0;0
2019;4598100;459810003;4692;3;469203;494,5752;10;2;2008;1;1;2; ;-3;56206,2777777778;10;4;5;3; ;3;0;0;0;0
2019;4598200;459820001;6532;1;653201;738,11555;70;2;1948;2; ; ;2;1;25512,0533333333;5;2;3;2;1;-1;-3;0;0;0
2019;4598200;459820002;6532;2;653202;738,11555;65;2;1953;1; ; ;1;4;25512,0533333333;5;2;3;2;3;-1;-3;0;0;0
2019;4598500;459850001;3081;1;308101;640,83165;76;2;1942;1; ; ;2;4;14984,22;2;1;1;1;3;-1;-3;1;0;1
2019;4598500;459850002;3081;2;308102;640,83165;71;2;1947;2; ; ;1;4;14984,22;2;1;1;1;3;-1;-3;1;0;1
2019;4599300;459930001;965;1;96501;755,0587;80;1;1938;2; ; ; ;5;18068,5;3;1;2;2;-9;-1;-3;0;0;0
2019;4599600;459960001;9259;1;925901;823,8722;23;1;1995;1; ; ;2;1;35467,98;8;4;4;2;1;3;0;0;0;0
2019;4599600;459960002;9259;2;925902;823,8722;22;1;1996;2; ; ;1;1;35467,98;8;4;4;2;1;3;0;0;0;0
2019;4599800;459980001;2212;1;221201;436,89389;48;1;1970;2; ; ;2;1;38447,0321428571;9;4;5;3;1;3;0;0;0;0
2019;4599800;459980002;2212;2;221202;436,89389;47;1;1971;1; ; ;1;1;38447,0321428571;9;4;5;3;1;3;0;0;0;0
2019;4599800;459980003;2212;3;221203;436,89389;18;1;2000;2;2;1; ;1;38447,0321428571;9;4;5;3;4;3;0;0;0;0
2019;4599800;459980004;2212;4;221204;436,89389;14;1;2004;1;2;1; ;5;38447,0321428571;9;4;5;3; ;3;0;0;0;0
2019;4599800;459980005;2212;5;221205;436,89389;10;1;2008;1;2;1; ;-3;38447,0321428571;9;4;5;3; ;3;0;0;0;0
2019;4600200;460020001;4809;1;480901;313,78116;43;1;1975;2; ; ; ;1;4492,92307692308;1;1;1;1;1;3;0;1;0;1
2019;4600200;460020002;4809;2;480902;313,78116;12;1;2006;1; ;1; ;-3;4492,92307692308;1;1;1;1; ;3;0;1;0;1
2019;4600300;460030001;8943;1;894301;610,64503;64;1;1954;2; ; ; ;4;23771,54;5;2;3;2;3;-1;-3;0;0;0
2019;4600600;460060001;674;1;67401;575,09561;49;1;1969;2; ; ;2;1;59671,47;10;4;5;3;1;3;0;0;0;0
2019;4600600;460060002;674;2;67402;575,09561;48;1;1970;1; ; ;1;1;59671,47;10;4;5;3;1;3;0;0;0;0
2019;4600600;460060003;674;3;67403;575,09561;20;1;1998;1;2;1; ;5;59671,47;10;4;5;3;1;3;0;0;0;0
2019;4600800;460080001;1780;2;178002;361,15695;41;2;1977;1; ; ;1;1;46908,3380952381;10;4;5;3;1;3;0;0;0;0
2019;4600800;460080002;1780;1;178001;361,15695;42;2;1976;2; ; ;2;1;46908,3380952381;10;4;5;3;1;3;0;0;0;0
2019;4600800;460080003;1780;3;178003;361,15695;10;2;2008;1;2;1; ;-3;46908,3380952381;10;4;5;3; ;3;0;0;0;0
2019;4600800;460080004;1780;4;178004;361,15695;2;2;2016;2;2;1; ;-3;46908,3380952381;10;4;5;3; ;3;0;0;0;0
2019;4601200;460120001;2489;1;248901;798,06173;64;1;1954;1; ; ; ;4;20666,14;4;2;2;2;3;-1;-3;0;0;0
2019;4601900;460190001;4392;1;439201;534,84572;63;1;1955;2; ; ; ;4;31412;7;3;4;2;3;-1;-3;0;0;0
2019;4602000;460200001;3357;1;335701;589,02147;72;1;1946;1; ; ;2;4;33102,66;8;3;4;2;3;-1;-3;0;0;0
2019;4602000;460200002;3357;2;335702;589,02147;68;1;1950;2; ; ;1;4;33102,66;8;3;4;2;3;-1;-3;0;0;0
2019;4602800;460280001;1963;1;196301;612,16865;79;2;1939;1; ; ;2;4;35572,68;8;4;4;2;3;-1;-3;0;0;0
2019;4602800;460280002;1963;2;196302;612,16865;76;2;1942;2; ; ;1;4;35572,68;8;4;4;2;3;-1;-3;0;0;0
2019;4602900;460290001;1936;2;193602;528,37858;36;1;1982;2; ; ;1;1;36191,0714285714;8;4;4;2;1;3;0;0;0;0
2019;4602900;460290002;1936;1;193601;528,37858;38;1;1980;1; ; ;2;1;36191,0714285714;8;4;4;2;1;3;0;0;0;0
2019;4602900;460290003;1936;3;193603;528,37858;9;1;2009;1;1;2; ;-3;36191,0714285714;8;4;4;2; ;3;0;0;0;0
2019;4602900;460290004;1936;4;193604;528,37858;7;1;2011;1;1;2; ;-3;36191,0714285714;8;4;4;2; ;3;0;0;0;0
2019;4603000;460300001;5078;1;507801;627,02769;70;1;1948;1; ; ;2;4;27978,3;6;3;3;2;3;-1;-3;0;0;0
2019;4603000;460300002;5078;2;507802;627,02769;68;1;1950;2; ; ;1;4;27978,3;6;3;3;2;3;-1;-3;0;0;0
2019;4603100;460310001;996;1;99601;746,11113;72;1;1946;2; ; ; ;4;23171,68;5;2;3;2;3;-1;-3;0;0;0
2019;4603200;460320001;1785;1;178501;696,66815;57;2;1961;1; ; ;2;1;72339,8933333333;10;4;5;3;1;3;0;0;0;0
2019;4603200;460320002;1785;2;178502;696,66815;55;2;1963;2; ; ;1;1;72339,8933333333;10;4;5;3;1;3;0;0;0;0
2019;4603300;460330001;6395;1;639501;689,07726;49;1;1969;1; ; ; ;1;34758,98;8;4;4;2;1;3;0;0;0;0
2019;4603400;460340002;6038;1;603801;523,61635;40;1;1978;2; ; ; ;1;6741,3347826087;1;1;1;1;1;3;0;1;0;1
2019;4603400;460340003;6038;2;603802;523,61635;17;1;2001;2; ;1; ;5;6741,3347826087;1;1;1;1; ;3;0;1;0;1
2019;4603400;460340004;6038;3;603803;523,61635;15;1;2003;2; ;1; ;5;6741,3347826087;1;1;1;1; ;3;0;1;0;1
2019;4603400;460340005;6038;4;603804;523,61635;10;1;2008;2; ;1; ;-3;6741,3347826087;1;1;1;1; ;3;0;1;0;1
2019;4603700;460370001;5048;1;504801;760,3261;64;2;1954;1; ; ;2;4;28011,7333333333;6;3;3;2;3;-1;-3;0;0;0
2019;4603700;460370002;5048;2;504802;760,3261;62;2;1956;2; ; ;1;4;28011,7333333333;6;3;3;2;3;-1;-3;0;0;0
2019;4603900;460390001;7587;1;758701;1011,90677;67;1;1951;1; ; ;2;4;23766,635;5;2;3;2;3;-1;-3;0;0;0
