jahr;HID;hgew;D002000;D003000;D004010;D004020;hsize;bundesld;db100;region;oecdregtyp;urtyp;modus
2019;5831000; ;11;22;-3;-3; ;1;3;4;-1;-1; 
2019;5831100; ;27;-3;-3;-3; ;4;2;4;-1;-1; 
2019;5831200;882,84129;11;11;1;0;1;7;2;4;3;410;1
2019;5831300; ;11;22;-3;-3; ;4;2;3;-1;-1; 
2019;5831400;411,60899;11;11;4;2;4;7;2;4;3;103;1
2019;5831500; ;11;22;-3;-3; ;6;3;4;-1;-1; 
2019;5831600;542,7202;11;11;1;0;1;7;2;4;2;101;1
2019;5831700; ;11;22;-3;-3; ;3;3;4;-1;-1; 
2019;5831800;493,67291;11;11;3;1;3;3;2;3;3;103;1
2019;5831900;366,98271;11;11;1;0;1;7;2;4;3;410;1
2019;5832000; ;11;22;-3;-3; ;4;3;4;-1;-1; 
2019;5832100; ;11;22;-3;-3; ;8;2;4;-1;-1; 
2019;5832200;353,87144;11;11;4;2;4;7;2;4;2;310;1
2019;5832300;571,92463;11;11;1;0;1;7;2;4;3;220;1
2019;5832400;906,7937;11;11;1;0;1;5;1;2;2;101;1
2019;5832500; ;11;22;-3;-3; ;8;2;3;-1;-1; 
2019;5832600; ;11;21;-3;-3; ;3;2;3;-1;-1; 
2019;5832700;576,89294;11;11;2;0;2;8;2;4;1;101;1
2019;5832800;345,42294;11;11;1;0;1;6;3;4;3;103;1
2019;5832900;750,92329;11;11;2;0;2;9;1;1;1;101;1
2019;5833000;464,16995;11;11;2;0;2;2;3;4;3;410;1
2019;5833100;671,64752;11;11;1;0;1;3;2;3;3;102;1
2019;5833200; ;11;21;-3;-3; ;3;3;4;-1;-1; 
2019;5833300;467,44368;11;11;2;0;2;3;2;4;3;310;1
2019;5833400; ;11;27;-3;-3; ;9;1;1;-1;-1; 
2019;5833500; ;11;21;-3;-3; ;9;1;1;-1;-1; 
2019;5833600;648,14967;11;11;3;1;3;2;2;3;3;103;1
2019;5833700;495,28623;11;11;1;0;1;9;1;1;1;101;1
2019;5833800; ;11;22;-3;-3; ;9;1;1;-1;-1; 
2019;5833900; ;11;21;-3;-3; ;5;2;3;-1;-1; 
