"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","FONPURCH","INTAWAY","INTAWAY_","INTAWYX","INTAWYX_","FONCARDX","FONC_RDX","PRPYCELL","PRPY_ELL","PRPYCLX","PRPYCLX_"
"20191","03895454","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03895484","58","0","1","","2","D","","A","","A","","A","","A"
"20191","03895504","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03895514","37","0","1","","2","D","","A","","A","","A","","A"
"20191","03895524","15","0","1","","2","D","","A","","A","","A","","A"
"20191","03895544","11","0","1","","2","D","","A","","A","","A","","A"
"20191","03895554","29","0","1","","2","D","","A","","A","","A","","A"
"20191","03895604","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03895624","14","0","1","","2","D","","A","","A","","A","","A"
"20191","03895684","41","0","1","","2","D","","A","","A","","A","","A"
"20191","03895704","30","0","1","","2","D","","A","","A","","A","","A"
"20191","03895734","31","0","1","","2","D","","A","","A","","A","","A"
"20191","03895744","13","0","1","","2","D","","A","","A","","A","","A"
"20191","03895754","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03895794","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03895804","32","0","1","","2","D","","A","","A","","A","","A"
"20191","03895824","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03895854","30","0","1","","2","D","","A","60","D","","A","","A"
"20191","03895884","20","0","1","","2","D","","A","","A","","A","","A"
"20191","03895904","44","0","1","","2","D","","A","","A","","A","","A"
"20191","03895914","39","0","1","","2","D","","A","","A","","A","","A"
"20191","03895924","25","0","1","","2","D","","A","","A","","A","","A"
"20191","03895944","61","0","1","","1","D","80","D","","A","","A","","A"
"20191","03895954","70","0","1","","2","D","","A","","A","","A","","A"
"20191","03895964","33","0","1","","2","D","","A","","A","","A","","A"
"20191","03895974","4","0","1","","2","D","","A","","A","","A","","A"
"20191","03895994","58","0","1","","2","D","","A","","A","","A","","A"
"20191","03896004","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03896014","17","0","1","","2","D","","A","","A","","A","","A"
"20191","03896074","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03896114","9","0","1","","2","D","","A","","A","","A","","A"
"20191","03896124","61","0","1","","2","D","","A","","A","","A","","A"
"20191","03896134","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03896144","24","0","1","","2","D","","A","","A","","A","","A"
"20191","03896154","44","0","1","","2","D","","A","","A","","A","","A"
"20191","03896194","49","0","1","","2","D","","A","","A","","A","","A"
"20191","03896234","45","0","1","","2","D","","A","","A","","A","","A"
"20191","03896254","30","0","1","","2","D","","A","","A","","A","","A"
"20191","03896304","69","0","1","","2","D","","A","","A","","A","","A"
"20191","03896324","16","0","1","","2","D","","A","","A","","A","","A"
"20191","03896364","42","0","1","","2","D","","A","","A","","A","","A"
"20191","03896374","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03896414","12","0","1","","2","D","","A","","A","","A","","A"
"20191","03896424","22","0","1","","2","D","","A","","A","","A","","A"
"20191","03896444","35","0","1","","2","D","","A","","A","","A","","A"
"20191","03896514","34","0","1","","2","D","","A","","A","","A","","A"
"20191","03896544","16","0","1","","2","D","","A","","A","","A","","A"
