"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20191","03894604","10","0","1","150","D","13","D","30","D"
"20191","03894604","11","0","1","150","D","13","D","60","D"
"20191","03894604","12","0","1","150","D","12","D","10","D"
"20191","03894604","13","0","1","150","D","13","D","30","D"
"20191","03894604","14","0","1","150","D","12","D","26","D"
"20191","03894624","4","0","1","100","D","13","D","20","D"
"20191","03894624","5","0","1","150","D","13","D","200","D"
"20191","03894664","3","0","1","130","D","12","D","50","D"
"20191","03894664","4","0","1","160","D","12","D","250","D"
"20191","03894734","18","0","1","170","D","12","D","20","D"
"20191","03894734","19","0","1","170","D","11","D","80","D"
"20191","03894804","2","0","1","150","D","13","D","150","D"
"20191","03894884","7","0","1","170","D","10","D","80","D"
"20191","03894884","8","0","1","170","D","11","D","80","D"
"20191","03894884","9","0","1","170","D","12","D","150","D"
"20191","03894884","10","0","1","130","D","12","D","45","D"
"20191","03894884","11","0","1","160","D","12","D","22","D"
"20191","03894914","4","0","1","170","D","10","D","100","D"
"20191","03894914","5","0","1","160","D","12","D","50","D"
"20191","03894944","6","0","1","140","D","12","D","35","D"
"20191","03894994","2","0","1","160","D","12","D","2000","D"
"20191","03895034","7","0","1","170","D","12","D","750","D"
"20191","03895034","8","0","1","150","D","13","D","800","D"
"20191","03895114","6","0","1","170","D","12","D","600","D"
"20191","03895114","7","0","1","180","D","12","D","240","D"
"20191","03895244","13","0","1","110","D","13","D","550","D"
"20191","03895314","10","0","1","160","D","13","D","2","D"
"20191","03895314","11","0","1","160","D","13","D","5","D"
"20191","03895314","12","0","1","160","D","13","D","5","D"
"20191","03895314","13","0","1","160","D","13","D","5","D"
"20191","03895314","14","0","1","160","D","13","D","10","D"
"20191","03895314","15","0","1","160","D","13","D","10","D"
"20191","03895404","2","0","1","170","D","12","D","200","D"
"20191","03895404","3","0","1","120","D","13","D","6300","D"
"20191","03895484","12","0","1","140","D","13","D","50","D"
"20191","03895484","13","0","1","160","D","13","D","40","D"
"20191","03895504","2","0","1","150","D","10","D","150","D"
"20191","03895504","3","0","1","150","D","11","D","175","D"
"20191","03895504","4","0","1","150","D","12","D","175","D"
"20191","03895514","1","0","1","150","D","13","D","70","D"
"20191","03895684","3","0","1","170","D","12","D","130","D"
"20191","03895704","2","0","1","150","D","13","D","200","D"
"20191","03895794","8","0","1","150","D","12","D","13500","D"
"20191","03895854","8","0","1","170","D","13","D","300","D"
"20191","03895904","3","0","1","170","D","12","D","200","D"
"20191","03895904","4","0","1","150","D","12","D","4000","D"
"20191","03895904","5","0","1","160","D","13","D","100","D"
"20191","03895914","6","0","1","170","D","10","D","500","D"
"20191","03895914","7","0","1","170","D","11","D","300","D"
"20191","03895914","8","0","1","170","D","12","D","500","D"
"20191","03895954","5","0","1","170","D","12","D","400","D"
"20191","03895954","6","0","1","150","D","13","D","700","D"
"20191","03895964","3","0","1","160","D","12","D","150","D"
"20191","03895994","13","0","1","150","D","13","D","220","D"
"20191","03896004","3","0","1","100","D","13","D","300","D"
"20191","03896004","4","0","1","130","D","12","D","200","D"
"20191","03896004","5","0","1","160","D","13","D","10","D"
"20191","03896074","5","0","1","160","D","12","D","100","D"
"20191","03896124","3","0","1","170","D","12","D","2000","D"
"20191","03896124","4","0","1","150","D","13","D","2600","D"
"20191","03896124","5","0","1","160","D","12","D","185","D"
"20191","03896154","3","0","1","150","D","10","D","160","D"
"20191","03896154","4","0","1","150","D","11","D","160","D"
"20191","03896154","5","0","1","150","D","12","D","196","D"
"20191","03896154","6","0","1","160","D","13","D","1","D"
"20191","03896154","7","0","1","160","D","13","D","1","D"
"20191","03896194","4","0","1","170","D","12","D","100","D"
"20191","03896194","5","0","1","150","D","13","D","120","D"
"20191","03896194","6","0","1","160","D","12","D","50","D"
"20191","03896234","4","0","1","170","D","12","D","230","D"
"20191","03896234","5","0","1","150","D","13","D","1295","D"
"20191","03896304","12","0","1","170","D","13","D","25","D"
