"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","APPRPRYB","APPR_RYB","SRVCMOB","SRVCMOB_","REPAIRX","REPAIRX_","APPRPB1","APPRPB1_","APPRPB2","APPRPB2_","APPRPB3","APPRPB3_","APPRPB4","APPRPB4_","APPRPB5","APPRPB5_","APPRPB6","APPRPB6_","APPRPB7","APPRPB7_","APPRPB8","APPRPB8_","APPRPB9","EQBPURCH","APPRPB9_"
"20191","03904994","17","0","1","190","D","01","D","84","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905134","10","0","1","190","D","11","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905134","11","0","1","190","D","12","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905134","12","0","1","190","D","01","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905134","13","0","2","190","D","11","D","65","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905134","14","0","2","200","D","11","D","430","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905374","2","0","1","190","D","12","D","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905644","8","0","1","190","D","01","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905644","9","0","1","190","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905644","10","0","1","190","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905644","11","0","2","190","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03905934","17","0","1","190","D","11","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906034","6","0","1","110","D","12","D","206","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","4","0","1","115","D","01","D","","H","110","D","100","D","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","4","1","1","110","D","01","D","27","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","4","2","1","100","D","01","D","22","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","5","0","1","115","D","11","D","","H","110","D","100","D","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","5","1","1","110","D","11","D","27","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","5","2","1","100","D","11","D","22","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","6","0","1","115","D","12","D","","H","110","D","100","D","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","6","1","1","110","D","12","D","27","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906174","6","2","1","100","D","12","D","22","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906234","20","0","1","190","D","11","D","104","F","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906234","21","0","1","190","D","12","D","104","F","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906234","22","0","1","190","D","01","D","104","F","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906444","12","0","1","100","D","12","D","53","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906484","10","0","1","210","D","11","D","","H","110","D","100","D","200","D","","A","","A","","A","","A","","A","","","A"
"20191","03906484","10","1","1","110","D","11","D","22","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906484","10","2","1","100","D","11","D","19","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906484","10","3","1","200","D","11","D","18","E","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906904","16","0","1","190","D","01","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03906904","17","0","2","190","D","11","D","64","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907164","21","0","1","190","D","11","D","128","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907164","22","0","1","190","D","12","D","45","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907164","23","0","1","190","D","01","D","163","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907404","4","0","1","190","D","12","D","247","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907524","4","0","1","200","D","12","D","36","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907524","5","0","1","200","D","01","D","36","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907524","6","0","2","200","D","11","D","36","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
"20191","03907544","12","0","1","190","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","","A"
