"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20193","04202172","1","3","1","140","D","1","D","07","D","315","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202172","1","4","1","170","D","1","D","07","D","58","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202172","1","5","1","195","D","1","D","07","D","676","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04202942","1","0","1","160","D","1","D","08","D","495","D","","A","105","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04203302","1","0","1","120","D","1","D","07","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04203652","1","0","2","195","D","1","D","06","D","900","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04203942","1","0","2","100","D","1","D","06","D","983","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04203992","1","0","1","195","D","2","D","","A","","A","499","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04204372","1","0","1","120","D","1","D","07","D","147","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04204572","1","0","1","100","D","1","D","07","D","1900","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215081","1","0","1","195","D","1","D","04","D","214","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215091","1","0","1","195","D","1","D","04","D","3191","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215161","1","0","1","120","D","1","D","04","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215191","1","0","1","195","D","1","D","06","D","450","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215223","1","0","1","120","D","1","D","06","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215441","1","0","1","140","D","3","D","06","D","620","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215441","2","0","1","180","D","1","D","06","D","100","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04215791","1","0","1","140","D","1","D","04","D","211","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216061","1","0","1","160","D","1","D","05","D","630","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216081","1","0","1","195","D","1","D","05","D","870","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216101","1","0","1","120","D","1","D","06","D","128","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216241","1","0","1","120","D","1","D","05","D","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216241","2","0","1","140","D","1","D","05","D","75","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216241","3","0","1","140","D","1","D","04","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216501","1","0","1","220","D","1","D","05","D","","H","","A","","A","220","D","195","D","","A","","A","","A","","A","","A","","A","","A"
"20193","04216501","1","1","1","120","D","1","D","05","D","39","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216501","1","2","1","140","D","1","D","05","D","101","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216501","1","3","1","170","D","1","D","05","D","18","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216501","1","4","1","195","D","1","D","05","D","217","E","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04216931","1","0","1","195","D","2","D","","A","","A","100","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217001","1","0","1","140","D","1","D","06","D","350","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217011","1","0","1","170","D","1","D","05","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217261","1","0","1","195","D","1","D","04","D","881","D","","A","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217261","2","0","1","160","D","1","D","04","D","400","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217491","1","0","1","100","D","1","D","05","D","2500","D","","A","200","F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217561","1","0","1","140","D","1","D","04","D","3800","D","","A","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04217701","1","0","1","195","D","1","D","06","D","360","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218351","1","0","1","195","D","1","D","06","D","1080","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218571","1","0","1","195","D","1","D","05","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04218641","1","0","1","140","D","1","D","06","D","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
