"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20191","04096431","17","0","1","7","D","","A","50","D","","A","","A","","A","","A","","A","","A","150","D","","A"
"20191","04097653","17","0","1","7","D","1000","D","150","F","","A","","A","","A","","A","","A","","A","50","F","","A"
"20191","04098963","15","0","1","6","D","540","D","47","F","12","D","","A","","A","","A","","A","","A","296","F","108","D"
"20191","04100721","20","0","1","10","D","","A","271","D","100","D","77","D","","A","","A","","A","","A","1729","D","120","D"
"20191","04100831","51","0","1","1","D","200","D","","A","","A","","A","","A","","A","","A","","A","40","D","","A"
"20191","04101361","22","0","1","1","D","150","D","47","G","3","G","60","D","","A","","A","","A","","A","296","G","514","G"
"20191","04101494","10","0","1","1","D","","A","","A","","A","","A","1","D","1","D","1","D","2","D","30","D","","A"
"20191","04102481","20","0","1","2","D","250","D","","A","","A","","A","","A","","A","","A","","A","130","D","","A"
"20191","04103134","21","0","1","2","D","132","D","","A","","A","","A","","A","","A","","A","","A","40","D","","A"
"20191","04103531","26","0","1","3","D","300","D","","A","","A","","A","","A","","A","","A","","A","50","D","10","D"
"20191","04105421","43","0","1","1","D","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04107131","14","0","1","7","D","800","D","","A","","A","","A","","A","","A","","A","","A","50","D","50","D"
"20191","04109771","21","0","1","1","D","148","G","22","G","","A","","A","1","D","1","D","2","D","2","D","55","G","","A"
"20191","04110171","33","0","1","1","D","150","D","30","D","","A","","A","","A","","A","","A","","A","70","D","","A"
"20191","04110861","19","0","1","8","D","1400","D","25","D","","A","","A","","A","","A","","A","","A","45","D","","A"
"20192","03945334","29","0","1","3","D","300","D","50","D","","A","","A","","A","","A","","A","","A","250","D","","A"
"20192","03945974","35","0","1","2","D","200","D","12","D","","A","75","D","","A","","A","","A","","A","138","D","","A"
"20192","03951424","57","0","1","2","D","500","D","","A","","A","","A","","A","","A","","A","","A","120","D","","A"
"20192","03951504","48","0","1","1","D","200","D","15","D","","A","","A","","A","","A","","A","","A","135","D","","A"
"20192","03953014","39","0","1","2","D","150","D","20","D","","A","160","D","","A","","A","","A","","A","230","D","","A"
"20192","03965034","21","0","1","3","D","","A","50","F","","A","","A","","A","","A","","A","","A","250","F","","A"
"20192","03965564","55","0","1","13","D","598","D","","A","","A","","A","","A","","A","","A","","A","20","D","","A"
"20192","03970074","20","0","1","1","D","120","D","","A","","A","40","D","","A","","A","","A","","A","50","D","","A"
"20192","03972724","29","0","1","2","D","180","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03972814","6","0","1","1","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","6","D"
"20192","03986094","62","0","1","1","D","249","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03987324","66","0","1","2","D","300","D","","A","","A","","A","","A","","A","","A","","A","60","D","20","D"
"20192","03987644","17","0","1","1","D","","A","","A","","A","","A","","A","","A","","A","","A","30","D","","A"
"20192","03988064","54","0","1","2","D","260","D","","A","40","D","20","D","","A","","A","","A","","A","150","D","0","D"
"20192","03989034","36","0","1","3","D","160","D","100","D","","A","","A","","A","","A","","A","","A","100","D","","A"
"20192","03990844","44","0","1","1","D","100","D","","A","","A","20","D","","A","","A","","A","","A","75","D","","A"
"20192","03991044","37","0","1","1","D","","A","100","D","","A","800","D","","A","","A","","A","","A","100","D","","A"
"20192","03992304","72","0","1","1","D","320","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","03992474","36","0","1","1","D","50","D","","A","","A","","A","","A","","A","","A","","A","50","D","30","D"
"20192","03995464","23","0","1","1","D","120","D","25","D","","A","","A","","A","","A","","A","","A","35","D","","A"
"20192","04010403","27","0","1","1","D","135","D","","A","","A","40","D","","A","","A","","A","","A","26","D","","A"
"20192","04013403","32","0","1","1","D","386","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04013673","28","0","1","2","D","200","D","","A","","A","60","D","","A","","A","","A","","A","60","D","","A"
"20192","04015344","18","0","1","20","D","1000","D","","A","","A","500","D","","A","","A","","A","","A","500","D","500","D"
"20192","04027893","27","0","1","1","D","150","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04028023","68","0","1","2","D","300","D","","A","","A","","A","","A","","A","","A","","A","100","D","40","D"
"20192","04029033","29","0","1","1","D","130","D","78","G","60","G","","A","","A","","A","","A","","A","271","G","91","G"
"20192","04034803","64","0","1","1","D","80","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04036123","51","0","1","2","D","232","D","","A","","A","125","D","","A","","A","","A","","A","150","D","","A"
"20192","04038403","26","0","1","4","D","700","D","50","D","","A","","A","","A","","A","","A","","A","50","D","","A"
"20192","04042413","35","0","1","2","D","350","D","","A","","A","","A","","A","","A","","A","","A","50","D","50","D"
"20192","04043233","9","0","1","2","D","380","D","","A","","A","300","D","","A","","A","","A","","A","100","D","","A"
"20192","04046303","31","0","1","2","D","160","D","30","D","","A","40","D","","A","","A","","A","","A","70","D","","A"
"20192","04047443","63","0","1","1","D","100","D","12","D","","A","","A","","A","","A","","A","","A","48","D","","A"
"20192","04048143","54","0","1","1","D","212","D","25","D","","A","","A","","A","","A","","A","","A","75","D","","A"
"20192","04070032","37","0","1","1","D","120","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20192","04071692","23","0","1","1","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04074522","23","0","1","2","D","110","D","25","D","","A","","A","","A","","A","","A","","A","50","D","","A"
"20192","04091102","18","0","1","10","D","1640","G","171","G","","A","445","G","1","D","1","D","1","D","2","D","744","G","","A"
"20192","04091682","55","0","1","2","D","150","D","20","D","","A","24","D","","A","","A","","A","","A","55","D","","A"
"20192","04093922","69","0","1","7","D","1923","G","308","G","","A","","A","1","D","1","D","2","D","1","D","837","G","","A"
"20192","04099612","24","0","1","1","D","195","D","","A","","A","","A","","A","","A","","A","","A","","A","60","D"
"20192","04101382","24","0","1","1","D","100","D","120","D","","A","","A","","A","","A","","A","","A","80","D","","A"
"20192","04102952","23","0","1","1","D","372","F","15","F","","A","","A","","A","","A","","A","","A","135","F","","A"
"20192","04103022","22","0","1","1","D","89","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04107022","34","0","1","1","D","200","D","","A","","A","","A","","A","","A","","A","","A","200","D","","A"
"20192","04107922","25","0","1","1","D","","A","50","D","","A","","A","","A","","A","","A","","A","150","D","","A"
"20192","04110022","73","0","1","10","D","1000","D","","A","","A","","A","","A","","A","","A","","A","150","D","","A"
"20192","04172771","34","0","1","2","D","","A","","A","","A","","A","","A","","A","","A","","A","42","D","","A"
"20192","04175371","20","0","1","4","D","1200","D","","A","","A","1000","D","","A","","A","","A","","A","1200","D","","A"
"20192","04176471","22","0","1","17","D","840","D","","A","","A","","A","","A","","A","","A","","A","150","D","300","D"
"20192","04178741","14","0","1","1","D","144","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20192","04182431","32","0","1","2","D","56","D","40","D","","A","","A","","A","","A","","A","","A","80","D","","A"
"20192","04184001","23","0","1","5","D","665","D","","A","","A","","A","","A","","A","","A","","A","100","D","50","D"
"20192","04184201","21","0","1","1","D","200","D","40","D","","A","60","D","","A","","A","","A","","A","110","D","30","D"
"20192","04184831","24","0","1","89","D","","A","","A","","A","","A","","A","","A","","A","","A","3000","D","","A"
"20192","04184971","25","0","1","1","D","180","D","","A","","A","","A","","A","","A","","A","","A","100","D","20","D"
"20192","04185451","23","0","1","3","D","300","D","","A","","A","","A","","A","","A","","A","","A","300","D","20","D"
"20192","04185451","24","0","1","3","D","450","D","","A","","A","","A","","A","","A","","A","","A","300","D","20","D"
"20192","04186861","67","0","1","2","D","500","D","50","D","","A","200","D","","A","","A","","A","","A","100","D","40","D"
"20192","04187111","44","0","1","2","D","300","D","","A","","A","","A","","A","","A","","A","","A","60","D","","A"
"20192","04187381","29","0","1","2","D","240","D","","A","","A","","A","","A","","A","","A","","A","50","D","","A"
"20192","04187411","69","0","1","1","D","200","D","","A","","A","","A","","A","","A","","A","","A","150","D","","A"
"20192","04190071","39","0","1","2","D","161","G","9","G","","A","28","G","1","D","1","D","1","D","2","D","27","G","","A"
"20192","04192531","37","0","1","1","D","","A","50","G","","A","136","G","1","D","2","D","1","D","2","D","204","G","","A"
"20192","04192591","23","0","1","1","D","250","D","100","D","","A","","A","","A","","A","","A","","A","300","D","","A"
"20192","04193461","40","0","1","3","D","220","D","40","D","","A","","A","","A","","A","","A","","A","160","D","30","D"
"20192","04193891","32","0","1","2","D","400","D","50","D","","A","","A","","A","","A","","A","","A","130","D","40","D"
"20192","04194421","27","0","1","1","D","112","G","","A","","A","53","G","2","D","1","D","1","D","2","D","70","D","","A"
"20192","04197671","30","0","1","4","D","400","D","20","D","","A","","A","","A","","A","","A","","A","80","D","","A"
"20192","04198731","13","0","1","75","D","1800","D","","A","","A","","A","","A","","A","","A","","A","2500","D","","A"
"20192","04202931","30","0","1","2","D","350","D","20","D","","A","","A","","A","","A","","A","","A","80","D","","A"
"20192","04204031","10","0","1","","C","240","F","","A","","A","","A","","A","","A","","A","","A","75","F","40","F"
"20193","04013224","11","0","1","2","D","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04016724","35","0","1","2","D","270","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04029194","23","0","1","4","D","500","G","","A","","A","","A","2","D","1","D","2","D","2","D","240","D","","A"
"20193","04032284","31","0","1","10","D","856","G","118","G","","A","311","G","1","D","1","D","1","D","1","D","315","G","","A"
"20193","04032704","28","0","1","3","D","292","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20193","04034664","30","0","1","1","D","100","D","","A","","A","","A","","A","","A","","A","","A","30","D","","A"
