"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20191","03896774","1","0","1","300","D","1","D","2","D","13","D","","A","755","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896834","15","0","1","300","D","2","D","1","D","12","D","","A","1600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896834","16","0","1","300","D","2","D","1","D","12","D","","A","220","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896834","17","0","1","360","D","2","D","","A","12","D","","A","18","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896904","4","0","1","300","D","1","D","1","D","12","D","","A","345","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896964","37","0","1","200","D","1","D","","A","13","D","","A","950","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03896964","38","0","1","345","D","1","D","","A","13","D","","A","320","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897054","13","0","1","200","D","1","D","","A","13","D","","A","600","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897054","14","0","1","100","D","1","D","","A","10","D","","A","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897054","15","0","1","100","D","1","D","","A","11","D","","A","120","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897064","5","0","1","100","D","1","D","","A","13","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897094","7","0","1","100","D","1","D","","A","13","D","","A","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897094","8","0","1","345","D","1","D","","A","11","D","","A","52","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897194","8","0","1","350","D","1","D","1","D","12","D","","A","46","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897204","8","0","1","300","D","1","D","1","D","11","D","","A","300","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897204","9","0","1","350","D","1","D","1","D","10","D","","A","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897374","6","0","1","300","D","2","D","1","D","12","D","","A","9200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897374","7","0","1","310","D","2","D","","A","13","D","","A","639","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897504","2","0","1","200","D","1","D","","A","13","D","","A","700","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03897904","9","0","1","100","D","1","D","","A","13","D","","A","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898004","4","0","1","100","D","1","D","","A","10","D","","A","90","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898024","14","0","1","320","D","2","D","","A","13","D","","A","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898244","13","0","1","100","D","1","D","","A","11","D","","A","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898244","14","0","1","100","D","1","D","","A","12","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898274","2","0","1","300","D","1","D","1","D","12","D","","A","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898324","8","0","1","100","D","1","D","","A","13","D","","A","450","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898324","9","0","1","300","D","1","D","2","D","13","D","","A","240","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898404","9","0","2","100","D","1","D","","A","10","D","","A","358","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898474","6","0","1","350","D","1","D","2","D","13","D","","A","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898474","7","0","1","350","D","1","D","2","D","13","D","","A","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898644","4","0","1","310","D","1","D","","A","13","D","","A","3160","T","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898664","13","0","1","100","D","1","D","","A","13","D","","A","84","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898664","14","0","1","200","D","1","D","","A","13","D","","A","345","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03898764","4","0","1","360","D","1","D","","A","12","D","","A","710","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
