"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_","MEDRPRNT","MEDR_RNT","MEDRNOUT","MEDR_OUT"
"20191","03991463","6","0","1","120","D","1","D","01","D","212","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991873","17","0","1","420","D","1","D","12","D","130","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03991873","18","0","1","620","D","1","D","01","D","10","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","03995373","13","0","1","410","D","1","D","01","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","2","D"
"20191","03996123","8","0","2","410","D","1","D","12","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","03996123","9","0","2","200","D","1","D","12","D","486","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04007832","47","0","1","635","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D","","A"
"20191","04008802","27","0","1","200","D","1","D","10","D","1476","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04008802","28","0","1","200","D","1","D","11","D","2873","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04008802","29","0","1","200","D","1","D","12","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04010862","21","0","1","200","D","1","D","12","D","140","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04010942","6","0","1","200","D","1","D","10","D","200","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04011502","7","0","1","120","D","1","D","11","D","398","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04014892","17","0","1","110","D","1","D","10","D","50","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04016262","21","0","2","620","D","1","D","10","D","7","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04017262","38","0","1","420","D","1","D","11","D","20","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04028622","13","0","2","620","D","1","D","11","D","40","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04029302","12","0","1","420","D","1","D","01","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04029952","27","0","1","420","D","1","D","12","D","35","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04030062","28","0","1","410","D","1","D","11","D","1480","T","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","1","D"
"20191","04030152","16","0","1","620","D","1","D","01","D","47","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04030352","8","0","1","420","D","1","D","01","D","25","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04030772","13","0","1","510","D","1","D","11","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032282","18","0","1","200","D","1","D","01","D","486","F","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04032802","7","0","1","330","D","1","D","01","D","250","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04033072","9","0","1","200","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04034312","24","0","1","510","D","1","D","12","D","60","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04035192","14","0","1","620","D","1","D","12","D","30","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04035232","44","0","1","620","D","1","D","12","D","12","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20191","04035232","45","0","1","620","D","1","D","01","D","32","D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
