"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20191","03947873","37","0","1","100","D","4","D","10","D","","A","1980","D","","A","2","D","","A","01","D"
"20191","03947903","35","0","2","110","D","4","D","10","D","","A","","A","10400","F","1","D","","A","02","D"
"20191","03948033","18","0","1","100","D","2","D","10","D","","A","","A","","A","2","D","","A","01","D"
"20191","03948163","30","0","1","130","D","1","D","10","D","2700","D","","A","","A","2","D","","A","03","D"
"20191","03948473","15","0","2","100","D","4","D","10","D","","A","","A","","A","2","D","","A","03","D"
"20191","03948513","49","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03948883","31","0","1","110","D","2","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03949733","37","0","1","100","D","4","D","11","D","","A","3700","D","","A","2","D","","A","01","D"
"20191","03950213","26","0","1","100","D","2","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03950963","24","0","1","100","D","2","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03951173","16","0","1","110","D","3","D","12","D","","A","","A","","A","2","D","","A","03","D"
"20191","03951503","44","0","1","100","D","4","D","12","D","","A","1600","D","","A","2","D","","A","05","D"
"20191","03951513","72","0","1","100","D","1","D","10","D","2500","D","","A","","A","2","D","","A","03","D"
"20191","03951513","73","0","1","110","D","3","D","10","D","","A","","A","","A","2","D","","A","04","D"
"20191","03951733","7","0","1","100","D","4","D","12","D","","A","","A","","A","1","D","","A","01","D"
"20191","03951953","50","0","1","100","D","2","D","10","D","","A","","A","","A","2","D","","A","01","D"
"20191","03952073","42","0","1","110","D","4","D","10","D","","A","","A","","A","2","D","","A","03","D"
"20191","03952223","30","0","1","100","D","2","D","10","D","","A","","A","","A","2","D","","A","02","D"
"20191","03952383","8","0","1","100","D","2","D","10","D","","A","","A","","A","2","D","","A","01","D"
"20191","03952443","34","0","1","110","D","1","D","10","D","1300","F","","A","","A","2","D","","A","01","D"
"20191","03952653","37","0","1","100","D","4","D","12","D","","A","14000","D","","A","1","D","14000","D","04","D"
"20191","03953083","33","0","1","110","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03954233","22","0","2","100","D","6","D","10","D","","A","","A","","A","2","D","","A","01","D"
"20191","03964603","17","0","1","110","D","2","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","03965083","26","0","1","110","D","4","D","01","D","","A","3000","D","","A","2","D","","A","01","D"
"20191","03965083","27","0","1","100","D","4","D","12","D","","A","1400","D","","A","2","D","","A","02","D"
"20191","03965293","28","0","1","100","D","1","D","01","D","120","D","","A","","A","2","D","","A","02","D"
"20191","03965523","27","0","1","110","D","2","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03965563","33","0","1","110","D","1","D","01","D","200","D","","A","","A","2","D","","A","02","D"
"20191","03966983","16","0","1","110","D","3","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03967453","40","0","1","150","D","6","D","01","D","","A","","A","","A","2","D","","A","03","D"
"20191","03968183","34","0","1","110","D","3","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","03968273","12","0","1","110","D","6","D","11","D","","A","","A","","A","2","D","","A","01","D"
"20191","03968983","45","0","1","100","D","1","D","12","D","1000","F","","A","","A","2","D","","A","01","D"
"20191","03968983","46","0","1","110","D","3","D","11","D","","A","","A","","A","2","D","","A","02","D"
"20191","03969923","22","0","1","110","D","1","D","12","D","300","D","","A","","A","2","D","","A","01","D"
"20191","03970283","44","0","1","100","D","2","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","03971383","30","0","1","100","D","2","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","03971523","55","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","04","D"
"20191","03971793","29","0","1","100","D","1","D","01","D","7000","D","","A","","A","2","D","","A","01","D"
"20191","03971993","31","0","1","100","D","3","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","03972053","105","0","2","110","D","1","D","11","D","8800","D","","A","","A","2","D","","A","01","D"
"20191","03972803","20","0","1","110","D","1","D","11","D","3400","D","","A","","A","2","D","","A","02","D"
"20191","03972993","20","0","1","100","D","1","D","01","D","4500","D","","A","","A","2","D","","A","02","D"
"20191","03972993","21","0","1","110","D","3","D","01","D","","A","","A","","A","2","D","","A","03","D"
"20191","03973033","15","0","1","100","D","6","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","03973033","16","0","1","100","D","6","D","01","D","","A","","A","","A","2","D","","A","02","D"
"20191","03973263","21","0","1","110","D","4","D","11","D","","A","19200","D","","A","1","D","","A","01","D"
"20191","03973623","24","0","1","110","D","2","D","01","D","","A","","A","","A","2","D","","A","01","D"
"20191","03973623","25","0","1","160","D","1","D","01","D","2000","D","","A","","A","2","D","","A","05","D"
"20191","03974173","27","0","1","100","D","3","D","12","D","","A","","A","","A","2","D","","A","01","D"
"20191","03974563","49","0","1","100","D","3","D","11","D","","A","","A","","A","1","D","2800","D","01","D"
"20191","03985454","13","0","1","100","D","3","D","02","D","","A","","A","","A","2","D","","A","01","D"
