nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
46763,1,1938,1,1,6,6,8,2,0,3,5,30,2,1,1,1,2
46763,2,1944,2,2,3,3,7,2,0,3,5,30,2,0,0,1,2
46793,1,1944,1,1,7,7,8,4,1,2,2,28,5,1,1,1,1
46793,2,1947,2,2,6,6,8,4,1,2,2,28,5,0,0,1,1
46793,3,1976,2,5,6,6,1,4,1,2,2,28,5,0,0,1,1
46793,4,2002,1,7,4,2,6,4,1,2,2,28,5,0,0,1,1
46812,1,1947,1,2,6,6,8,2,0,3,2,26,2,1,1,1,1
46812,2,1952,2,1,7,7,8,2,0,3,2,26,2,0,0,1,1
46823,1,1974,2,1,5,5,9,1,0,4,5,31,1,1,1,0,2
46850,1,1957,2,2,5,5,1,2,0,4,3,22,2,1,0,1,2
46850,4,1957,1,1,1,8,1,2,0,4,3,22,2,0,1,1,2
46871,1,1930,1,2,7,7,11,2,0,NA,NA,NA,2,1,1,1,1
46871,2,1934,2,1,3,3,7,2,0,NA,NA,NA,2,0,0,1,1
46920,1,1997,2,1,7,7,6,1,0,NA,NA,NA,1,1,1,0,3
46961,1,1959,1,1,5,5,1,1,0,NA,NA,NA,1,1,1,0,2
46974,1,1981,1,1,3,3,1,3,1,NA,NA,NA,3,0,1,1,2
46974,2,1984,2,2,4,3,1,3,1,NA,NA,NA,3,1,0,1,2
46974,3,2012,2,5,2,8,13,3,1,NA,NA,NA,3,0,0,1,2
46983,1,1963,2,2,3,3,1,2,0,NA,NA,NA,2,1,0,1,1
46983,2,1960,1,1,4,4,1,2,0,NA,NA,NA,2,0,1,1,1
47002,1,1984,1,1,9,9,1,1,0,NA,NA,NA,1,1,1,0,2
47009,1,1939,1,1,7,7,8,1,0,NA,NA,NA,1,1,1,0,1
47054,1,1945,2,2,3,3,7,2,0,4,2,28,2,0,0,1,1
47054,2,1943,1,1,3,3,8,2,0,4,2,28,2,1,1,1,1
47174,1,1969,2,1,5,5,1,2,1,2,5,30,4,1,1,0,2
47174,3,1999,1,5,5,5,6,2,1,2,5,30,4,0,0,0,2
47192,1,1986,2,2,5,5,1,4,2,NA,NA,NA,3,1,1,1,2
47192,2,1984,1,1,5,5,9,4,2,NA,NA,NA,3,0,0,1,2
47192,3,2010,1,5,2,8,6,4,2,NA,NA,NA,3,0,0,1,2
47192,4,2013,1,5,2,8,6,4,2,NA,NA,NA,3,0,0,1,2
47259,1,1973,1,1,6,6,1,7,5,2,2,26,3,0,1,1,1
47259,2,1976,2,2,6,6,7,7,5,2,2,26,3,1,0,1,1
47259,3,2002,2,5,5,3,6,7,5,2,2,26,3,0,0,1,1
47259,4,2003,2,5,4,2,6,7,5,2,2,26,3,0,0,1,1
47259,5,2005,1,5,1,8,6,7,5,2,2,26,3,0,0,1,1
47259,6,2008,1,5,2,8,6,7,5,2,2,26,3,0,0,1,1
47259,7,2012,1,5,2,8,6,7,5,2,2,26,3,0,0,1,1
47321,1,1994,2,1,7,7,1,2,0,NA,NA,NA,2,1,1,1,2
47321,2,1991,1,3,6,6,3,2,0,NA,NA,NA,2,0,0,1,2
47342,1,1938,1,1,3,2,8,2,0,5,4,25,2,1,1,1,1
47342,2,1935,2,2,3,3,8,2,0,5,4,25,2,0,0,1,1
47488,1,1977,2,1,5,5,3,3,1,4,3,22,3,1,1,1,1
47488,2,1976,1,2,5,9,3,3,1,4,3,22,3,0,0,1,1
47488,3,2000,2,5,6,4,6,3,1,4,3,22,3,0,0,1,1
47512,1,1961,2,2,5,5,9,3,1,4,4,24,3,1,0,1,1
47512,2,1956,1,1,5,5,1,3,1,4,4,24,3,0,1,1,1
47512,7,1994,2,5,6,6,1,3,1,4,4,24,3,0,0,1,1
47545,1,1953,2,2,3,3,8,2,0,5,5,30,2,0,0,1,1
47545,2,1950,1,1,6,6,8,2,0,5,5,30,2,1,1,1,1
47564,1,1954,2,2,4,2,8,2,0,2,4,25,2,1,0,1,2
47564,2,1951,1,1,3,2,8,2,0,2,4,25,2,0,1,1,2
47582,1,1969,2,2,7,6,2,3,1,NA,NA,NA,3,1,0,1,1
47582,2,1968,1,1,5,5,2,3,1,NA,NA,NA,3,0,1,1,1
47582,3,2005,1,5,4,2,13,3,1,NA,NA,NA,3,0,0,1,1
